Results Table 1,,
,,
,,
Results Table 2,,
,,
,,
Time,Displacement,Force
(s),(mm),(N)
0,0,0.0218
0.02,0.0016,0.1863
0.04,0.0221,2.2707
0.06,0.0669,8.1671
0.08,0.1171,16.0079
0.1,0.1658,24.5499
0.12,0.214,36.0837
0.136,0.252,48.8131
0.15,0.2852,61.9431
0.163,0.3159,75.1634
0.175,0.3444,87.8438
0.187,0.373,100.8531
0.199,0.4015,114.2628
0.21,0.4277,126.9699
0.221,0.4539,140.0798
0.232,0.4801,153.5859
0.242,0.5039,166.2382
0.252,0.5277,179.212
0.262,0.5516,192.481
0.272,0.5755,205.9998
0.282,0.5993,219.7333
0.292,0.6232,233.6211
0.301,0.6447,246.2206
0.31,0.6662,258.8868
0.319,0.6877,271.6301
0.328,0.7092,284.4404
0.337,0.7307,297.3133
0.346,0.7522,310.2442
0.355,0.7737,323.2289
0.364,0.7952,336.2602
0.373,0.8167,349.3622
0.382,0.8383,362.5462
0.391,0.8598,375.8073
0.4,0.8813,389.1256
0.409,0.9029,402.4876
0.418,0.9244,415.9158
0.427,0.946,429.4079
0.436,0.9675,442.9694
0.445,0.989,456.5962
0.454,1.0106,470.2953
0.463,1.0321,484.0861
0.472,1.0537,497.9928
0.481,1.0752,512.0201
0.489,1.0944,524.6018
0.497,1.1136,537.3251
0.505,1.1327,550.1956
0.513,1.1519,563.2346
0.521,1.1711,576.4666
0.529,1.1903,589.9182
0.537,1.2094,603.6246
0.545,1.2286,617.5975
0.553,1.2478,631.8677
0.56,1.2646,644.6278
0.567,1.2814,657.6629
0.574,1.2982,671.0184
0.581,1.3149,684.7209
0.588,1.3317,698.7951
0.595,1.3485,713.2954
0.601,1.3629,726.1054
0.607,1.3773,739.3022
0.613,1.3916,752.9359
0.619,1.406,767.05
0.625,1.4204,781.6808
0.63,1.4324,794.3104
0.635,1.4444,807.3752
0.64,1.4563,820.9118
0.645,1.4683,834.9617
0.65,1.4803,849.5675
0.655,1.4923,864.7737
0.659,1.5019,877.3936